Wavelength (micron),Flam (1e-20 erg / (Angstrom s cm2))
0.8073225394191289,0.3652315778898565
0.8161557536067607,0.703186549750741
0.8252143502760124,0.9063358746542174
0.834504545011099,0.14085584873570495
0.8440326001886391,-0.8664741070050876
0.8538047314180898,0.7039183897737176
0.863827101018897,1.1370711722711404
0.8741057900388345,2.1244618860298323
0.8846467458414128,1.4135160795894985
0.8954557180203407,1.9273166162954691
0.9065382439315256,3.580465155707121
0.917899600133022,2.9983820305805793
0.9295447399190664,3.6919782111683075
0.9414781779776228,2.986399015411398
0.953704006410979,2.235805564295666
0.9662258385310472,4.3305611061991565
0.9790467547363041,4.9389506044726925
0.9921691657178157,4.763122261276402
1.0055946541021599,6.234708937768277
1.019324339057131,8.468637377133186
1.0333581625344184,9.60149896555901
1.04769562118343,9.06877704488695
1.0623348095831198,10.363208488686059
1.0772733104231236,10.9073610704657
1.0925076238365548,10.624756964502604
1.1080329895883543,8.757484923200213
1.1238439247626621,6.49186800116526
1.1399339202296326,6.500245084693312
1.1562954692118335,6.31202719827882
1.172920110207348,6.028946976563145
1.189798482477525,8.096245275819772
1.2069203946981257,10.077787611128768
1.22427490282959,11.5102101840201
1.2418503998866297,13.644807939702462
1.2596347079726347,13.975887309173222
1.2776150098076984,10.241162019533942
1.295778068512631,14.056643696533232
1.3141105508925275,13.766836795491027
1.3325989336743904,9.864378687191
1.3512292027094672,3.437969441317879
1.3699877959948106,1.412915527661014
1.3888610454771944,0.9918060400317011
1.4078354054332207,1.4281096511195994
1.4268978129515848,1.5962881018269874
1.4460351644415461,1.2252615682327437
1.4652351804118575,2.056443019406668
1.484485542835912,3.042288076942638
1.503774894158332,3.632901608876262
1.5230919289675537,4.896314755113737
1.5424263132204807,4.8484088632490225
1.5617678733561122,7.265574772222055
1.5811073562502567,8.40033135155778
1.6004357718665838,7.907049270676663
1.6197449660294148,6.552895351867364
1.6390271122827214,5.539971724183405
1.6582751384955747,4.822058048460844
1.6774823285483327,4.459254018935157
1.6966426491323692,4.153343283147731
1.7157504065023585,4.07179662259305
1.7348005438698328,4.5934832578626
1.7537882957827848,3.2338773993258227
1.7727094873374194,2.53936506175367
1.7915602014168344,2.36263914850843
1.8103370271307406,1.5454754382412295
1.8290368449051946,1.2727010289057088
1.8476568906461937,1.1936646543849427
1.8661947450366239,0.8566878645044504
1.8846482083551959,1.5246717634463507
1.9030154271188704,1.6478314042440774
1.9212947744597593,1.2662185049145112
1.9394848318047353,1.417311463209876
1.9575844354875391,1.1713814267104743
1.9755926116367761,1.0684941929585503
1.9935085372044494,1.787369202335413
2.0113315901179836,1.756182053269856
2.0290612972848603,2.12150314690725
2.0466973210851362,2.4010091362729526
2.064239440861173,2.799798667130926
2.0816875658764213,2.390042415840713
2.0990417114575735,2.7538975237576273
2.1163019870189075,2.8137544830191263
2.1334685879069606,2.2221780605813946
2.1505417897480097,2.4543308920205673
2.1675219368064105,2.07643547843544
2.1844094386983834,2.305815659677442
2.201204765306114,1.3520576558152322
2.2179084339102637,1.374660028558402
2.2345210100099795,1.3028962504844424
2.2510430992861563,1.2718087662529218
2.267475343613624,0.9969303516954178
2.2838184159891077,0.8631190610792921
2.3000730180022937,0.43355987498106136
2.3162398745848396,0.8227863607864901
2.3323197325301765,0.6708958989264482
2.348313355464835,0.7545298218060661
2.3642215224878185,0.7080819877447888
2.3800450290042994,0.786374255302986
2.395784677348306,0.6479832479459174
2.411441280834754,0.7383648529150673
2.4270156551776076,1.0303433514746319
2.4425086228175013,0.8171510283802529
2.457921006980187,0.6686084047736923
2.4732536346195357,0.7643111462498755
2.4885073408395906,0.757527165117368
2.503682951727686,0.526948451244797
2.5187812903076483,0.5879717971344861
2.5338031746699166,0.457217697652976
2.548749434851414,0.46858711502702477
2.563620884124459,0.3505539864695812
2.5784183292899194,0.24369520598088645
2.593142576432527,0.19715433910668897
2.607794431730421,0.5777214380013822
2.6223746810284503,0.364569846183782
2.6368841105021588,0.7966448330136595
2.651323507129081,0.7081233022366132
2.665693633540448,0.5688380436432695
2.6799952584955955,0.2655377899625535
2.6942291379240904,0.6354288061990546
2.7083960109643352,0.5008681798088536
2.722496629522857,0.4945771944486748
2.736531711535136,0.7213361088891587
2.7505019904400734,0.585391336190565
